price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,availability_days,type_apartment,type_basement,type_duplex,type_house,type_townhouse,lease_term_months,location,location_avg_price
1950.0,2.0,1.0,677.0,0.0,0.0,0,0,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
2600.0,3.0,2.5,1515.0,0.0,0.0,0,0,0,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
3000.0,3.0,2.5,2000.0,0.0,0.0,0,0,0,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
700.0,1.0,1.0,1600.0,1.0,0.0,0,0,0,1,0,0,0,0,3,"airdrie, alberta",2247.343137254902
1630.0,1.0,1.0,616.0,0.0,0.0,1,1,30,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1630.0,1.0,1.0,616.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
2090.0,2.0,2.0,971.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1735.0,1.0,1.0,654.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1710.0,1.0,1.0,616.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1840.0,1.0,1.0,711.0,0.0,0.0,1,1,0,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1955.0,2.0,2.0,906.0,0.0,0.0,1,1,61,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1670.0,1.0,1.0,616.0,0.0,0.0,1,1,61,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
2550.0,3.0,2.5,1361.0,0.0,0.0,0,0,14,0,0,1,0,0,12,"airdrie, alberta",2247.343137254902
4000.0,4.0,4.0,2328.0,0.0,0.0,1,1,14,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2450.0,3.0,2.0,1500.0,0.0,0.0,0,0,14,0,0,0,1,0,6,"airdrie, alberta",2247.343137254902
2200.0,3.0,2.5,1350.0,0.0,0.0,0,0,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
2350.0,2.0,1.5,1038.0,0.0,0.0,1,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
1675.0,2.0,1.0,1250.0,0.0,0.0,0,0,30,0,1,0,0,0,12,"airdrie, alberta",2247.343137254902
2400.0,3.0,2.5,1500.0,0.0,0.0,1,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
2250.0,3.0,2.5,1400.0,0.0,0.0,0,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
3150.0,4.0,3.5,2193.0,0.0,0.0,0,0,30,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2675.0,3.0,3.0,1650.0,0.0,0.0,1,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
1900.0,2.0,2.0,996.0,0.0,0.0,0,0,30,1,0,0,0,0,6,"airdrie, alberta",2247.343137254902
1759.0,2.0,1.0,955.0,0.0,0.0,1,1,44,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1859.0,2.0,1.0,955.0,0.0,0.0,1,1,30,1,0,0,0,0,12,"airdrie, alberta",2247.343137254902
1600.0,2.0,1.0,900.0,0.0,0.0,0,0,30,0,1,0,0,0,12,"airdrie, alberta",2247.343137254902
1910.0,3.0,2.0,1100.0,0.0,0.0,1,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
2500.0,3.0,2.5,1316.0,0.0,0.0,0,0,30,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2600.0,3.0,2.5,1600.0,0.0,0.0,1,1,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
2150.0,2.0,2.5,1265.0,0.0,0.0,0,0,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
3000.0,3.0,2.5,2504.0,0.0,0.0,1,1,30,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2900.0,4.0,3.0,2500.0,0.0,0.0,1,0,30,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
2600.0,3.0,2.5,1800.0,0.0,0.0,0,0,30,0,0,1,0,0,12,"airdrie, alberta",2247.343137254902
2500.0,3.0,2.5,1329.0,0.0,0.0,0,0,30,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
1500.0,1.0,1.0,1600.0,1.0,0.0,0,0,36,1,0,0,0,0,6,"airdrie, alberta",2247.343137254902
2500.0,3.0,2.5,1800.0,0.0,0.0,0,0,44,0,0,0,1,0,12,"airdrie, alberta",2247.343137254902
1600.0,1.0,1.0,725.0,1.0,0.0,0,0,44,0,1,0,0,0,12,"airdrie, alberta",2247.343137254902
2200.0,3.0,1.5,1300.0,0.0,0.0,1,1,44,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
2500.0,3.0,2.5,1458.0,0.0,0.0,1,1,47,0,0,0,0,1,12,"airdrie, alberta",2247.343137254902
