latitude,longitude,lease_term,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,type_apartment,type_basement,type_duplex,type_house,type_other,type_townhouse,availability_days
51.3059622,-114.012515,12.0,2495.0,2.0,2.5,1403.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.3059622,-114.012515,12.0,2695.0,3.0,2.5,1496.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.3059622,-114.012515,12.0,2295.0,2.0,2.5,1180.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.3059622,-114.012515,12.0,2095.0,2.0,2.5,1403.0,0,0,1,1,128.0,0,0,0,0,0,1,170
51.3059622,-114.012515,12.0,2495.0,2.0,2.5,1351.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2717246,-114.0201348,6.0,2390.0,0.0,1.0,361.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.2717246,-114.0201348,6.0,3615.0,1.0,1.0,525.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.2717246,-114.0201348,6.0,4520.0,2.0,1.0,810.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.2717246,-114.0201348,6.0,1930.0,0.0,1.0,265.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.2852509,-114.0101276,12.0,1700.0,2.0,1.0,997.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.3045767,-114.0216833,12.0,2550.0,3.0,2.5,805.0,0,0,0,1,128.0,0,0,0,1,0,0,0
51.276103,-114.0038583,12.0,3150.0,5.0,2.0,805.0,0,0,1,0,128.0,0,0,0,1,0,0,0
51.2807159,-114.0244446,12.0,3195.0,3.0,2.5,805.0,0,0,0,0,128.0,0,0,0,1,0,0,0
51.2631292,-114.0411654,12.0,1500.0,2.0,1.0,900.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.2519353,-114.0137782,12.0,2300.0,3.0,2.5,1600.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.270215,-114.031145,12.0,2000.0,1.0,1.0,602.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.270215,-114.031145,12.0,2225.0,2.0,2.0,886.0,0,0,0,0,128.0,1,0,0,0,0,0,0
51.291531,-114.0420409,3.0,2300.0,3.0,1.5,1086.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.2496714,-114.0309421,12.0,2099.0,2.0,2.5,1265.0,0,0,1,1,128.0,0,0,0,0,0,1,0
51.289386,-114.0213568,12.0,1680.0,1.0,1.0,667.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.289386,-114.0213568,12.0,1685.0,1.0,1.0,669.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.289386,-114.0213568,12.0,1645.0,1.0,1.0,680.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.289386,-114.0213568,12.0,1910.0,2.0,2.0,939.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.289386,-114.0213568,12.0,2145.0,2.0,2.0,1056.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.289386,-114.0213568,12.0,1950.0,2.0,2.0,983.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.289386,-114.0213568,12.0,1960.0,2.0,2.0,984.0,0,0,1,1,128.0,1,0,0,0,0,0,0
51.289386,-114.0213568,12.0,1720.0,1.0,1.0,650.0,0,0,1,1,128.0,1,0,0,0,0,0,30
51.2746543,-114.0191365,12.0,3500.0,5.0,3.5,2700.0,0,0,0,1,128.0,0,0,0,1,0,0,0
51.2496146,-114.030942,12.0,2400.0,3.0,2.5,1341.0,0,0,0,0,128.0,0,0,0,0,0,1,0
51.251492859256,-114.012470104229,12.0,2400.0,2.0,2.5,1470.0,0,0,1,0,128.0,0,0,0,0,0,1,0
51.2615974,-114.0243117,12.0,1250.0,1.0,1.0,805.0,1,0,0,0,128.0,0,1,0,0,0,0,0
51.27774,-114.0410613,12.0,1700.0,2.0,1.0,757.0,0,0,0,0,128.0,0,1,0,0,0,0,0
51.28487,-114.01983,12.0,2600.0,3.0,2.5,805.0,0,0,1,1,128.0,0,0,0,1,0,0,0
51.2910811,-114.0512376,12.0,2675.0,3.0,2.5,1575.0,0,0,0,0,128.0,0,0,0,1,0,0,0
