rentfaster_id,city,province,address,latitude,longitude,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,lease_term_months,availability_days
569454,Airdrie,Alberta,201 Cooperswood Green Southwest,51.2593,-114.02104,apartment,1500.0,1.0,1.0,1600.0,1,0,0,0,6,36
569845,Airdrie,Alberta,Chinook Winds Dr SW,51.2654043,-114.04462,house,2500.0,3.0,2.5,1800.0,0,0,0,0,12,44
536587,Airdrie,Alberta,1136 Hillcrest Lane Southwest,51.2507194,-114.0239848,basement,1600.0,1.0,1.0,725.0,1,0,0,0,12,44
319503,Airdrie,Alberta,152 Windford Gardens Southwest,51.2537716,-114.0305299,townhouse,2200.0,3.0,1.5,1300.0,0,0,1,1,12,44
530757,Airdrie,Alberta,323 Windbury Rd SW,51.2496146,-114.030942,townhouse,2500.0,3.0,2.5,1458.0,0,0,1,1,12,47
527120,Airdrie,Alberta,831 Windbury Place SW,51.249266,-114.0303033,townhouse,2300.0,2.0,2.5,1265.0,0,0,0,0,12,61
571239,Airdrie,Alberta,Windbury Cres,51.250055267921,-114.034777569312,townhouse,2400.0,2.0,2.5,1500.0,0,0,1,1,12,61
329450,Airdrie,Alberta,12 Windford Link,51.2523335,-114.0253997,townhouse,1995.0,2.0,1.5,1100.0,0,0,1,1,12,92
571152,Airdrie,Alberta,19 Osborne Park Southwest,51.253532716265,-114.031680869312,house,5500.0,3.0,2.5,2200.0,1,0,0,0,3,365
569484,Airdrie,Alberta,100 Chinook Winds Pl SW,51.2702975,-114.0298864,apartment,2095.0,2.0,2.0,960.0,0,0,1,1,12,365
36115,Airdrie,Alberta,105 Railway Ave SW,51.289525097678,-114.020054834918,apartment,1800.0,2.0,2.0,907.0,0,0,0,0,12,365
572430,Aldersyde,Alberta,117 Brooks Street,50.6771806,-113.8801201,house,1950.0,3.0,1.0,1150.0,0,0,1,1,12,30
570626,Balzac,Alberta,376 Lawthorn Way Southeast,51.2578452,-113.9797509,house,2395.0,2.0,2.5,1536.0,0,0,1,1,12,0
570741,Beaumont,Alberta,AB-625,53.3378433,-113.4306374,house,2000.0,3.0,2.5,1477.0,0,0,1,1,12,0
569937,Beaumont,Alberta,3506 66 Street,53.3494512,-113.4366176,basement,1500.0,1.0,1.0,700.0,0,0,0,0,12,0
565709,Beaumont,Alberta,7115 46A street,53.353495435856,-113.416777344531,house,2195.0,3.0,2.5,1700.0,0,0,0,0,12,0
275224,Beaumont,Alberta,5301 Rue Eaglemont,53.3553327,-113.4352133,apartment,1850.0,1.0,1.0,596.0,1,0,1,1,3,0
282368,Beaumont,Alberta,6502 60th Ave,53.362737,-113.437809,apartment,1818.0,2.0,2.0,938.0,0,0,1,1,12,30
283019,Beaumont,Alberta,6112 65 St,53.363901,-113.438616,townhouse,1998.0,3.0,1.5,1236.0,0,0,1,1,12,61
527361,Beaumont,Alberta,5102 30 Avenue,53.341026,-113.417064,townhouse,1965.0,2.0,2.5,1300.0,0,0,0,1,12,61
571219,Beaumont,Alberta,6636 46 Avenue,53.3494129,-113.4381854,townhouse,2100.0,3.0,2.5,1400.0,0,0,1,1,12,75
493997,Beaumont,Alberta,3517 49 Avenue,53.3516784,-113.3931892,house,1800.0,3.0,2.5,1400.0,0,0,0,0,12,92
448758,Beiseker,Alberta,429 6th Street,51.3824065,-113.5330306,apartment,950.0,1.0,1.0,750.0,0,0,1,1,12,0
401518,Beiseker,Alberta,429 6th Street,51.3824065,-113.5330306,apartment,1150.0,2.0,1.0,850.0,0,0,1,1,12,0
371998,Bonnyville,Alberta,4507 & 4511 43 St,54.2636987,-110.7242674,apartment,1205.0,2.0,1.0,739.0,0,0,1,1,12,0
334306,Bonnyville,Alberta,4402 50 Avenue,54.267671,-110.72651,apartment,1130.0,2.0,1.0,739.0,0,0,1,1,12,0
371999,Bonnyville,Alberta,4310 50 Avenue,54.267694,-110.7248041,apartment,1155.0,2.0,1.0,733.0,0,0,1,1,12,0
334305,Bonnyville,Alberta,4102 43 Avenue,54.2599,-110.720814,apartment,1120.0,2.0,1.0,830.0,0,0,1,1,12,0
291644,Bonnyville,Alberta,5301A/5301B 37th Street,54.269904485148,-110.71296755505,apartment,1395.0,2.0,2.0,948.0,0,0,0,0,12,29
334109,Brooks,Alberta,608 2nd St W,50.5721888,-111.8970559,apartment,1780.0,2.0,1.0,779.0,0,0,1,1,12,0
334301,Brooks,Alberta,1 Queen's Way East,50.583181,-111.893984,townhouse,2090.0,2.0,1.0,902.0,0,0,1,1,12,0
334248,Brooks,Alberta,604 8 St W,50.5721986,-111.9106583,apartment,1775.0,2.0,1.0,771.0,0,0,1,1,12,0
334113,Brooks,Alberta,236 4th St,50.5681068,-111.9019,apartment,1550.0,1.0,1.0,520.0,0,0,1,1,12,0
334174,Brooks,Alberta,524 1A Avenue East,50.5631754,-111.8894753,apartment,1385.0,1.0,1.0,560.0,0,0,1,1,12,0
334175,Brooks,Alberta,404 5 Avenue West,50.57104,-111.899639,apartment,1715.0,2.0,1.0,800.0,0,0,1,1,12,0
334126,Brooks,Alberta,11 Greenbrook Drive E,50.5678457,-111.8771813,apartment,1490.0,1.0,1.0,510.0,0,0,1,1,12,0
334240,Brooks,Alberta,1011 Cassils Road West,50.5721322,-111.9133726,apartment,1650.0,2.0,1.0,791.0,0,0,1,1,12,0
334127,Brooks,Alberta,1023 3rd Ave E,50.5652126,-111.8778149,apartment,1375.0,1.0,1.0,550.0,0,0,1,1,12,0
547537,Brooks,Alberta,204 Cassils Road East Brooks,50.57198,-111.8908,apartment,1975.0,2.0,1.0,932.0,0,0,0,0,12,29
544816,Bruderheim,Alberta,4711 56 Avenue,53.8068125,-112.9229251,apartment,1450.0,2.0,2.0,800.0,2,0,1,1,6,0
571702,Calgary,Alberta,1055 11 Street SW,51.04338,-114.08903,apartment,1725.0,1.0,1.0,483.0,0,0,1,1,12,0
560938,Calgary,Alberta,829 Royal Ave SW,51.0349477,-114.0811233,apartment,2800.0,2.0,2.0,815.0,0,0,1,1,12,0
483743,Calgary,Alberta,524 10th Ave,51.04366769609,-114.07208817361,apartment,11200.0,2.0,2.0,2416.0,1,0,1,1,12,0
434562,Calgary,Alberta,655 Centre Street SW,51.046632865945,-114.06320966323,apartment,2390.0,1.0,1.0,727.0,0,0,1,1,12,0
531446,Calgary,Alberta,825 8 Avenue SW,51.0457187,-114.0805283,apartment,2100.0,2.0,1.0,833.0,0,0,1,1,12,0
497590,Calgary,Alberta,1450 20 Ave NW,51.0707453,-114.0934202,apartment,2049.0,1.0,1.0,658.0,0,0,1,1,12,0
540340,Calgary,Alberta,255 Carrington Plaza NW,51.183119242008,-114.09101859312,apartment,2195.0,2.0,1.0,697.0,0,0,1,1,12,0
501607,Calgary,Alberta,950 McPherson Square NE,51.0500734,-114.0410253,apartment,2695.0,2.0,2.0,781.0,0,0,1,1,12,0
568004,Calgary,Alberta,30 Uxborough PL NW,51.070578348246,-114.13309029315,apartment,2440.0,2.0,2.0,810.0,0,0,1,1,12,14
468621,Calgary,Alberta,1800 4 Street SW,51.037113807396,-114.07096975278,apartment,1850.0,1.0,1.0,650.0,0,0,1,1,12,0
422955,Calgary,Alberta,201 10 Avenue Southeast,51.043,-114.0602964,apartment,2388.0,2.0,2.0,824.0,0,0,1,1,12,61
29842,Calgary,Alberta,1320 16 Avenue SW,51.038595,-114.09294,apartment,2138.0,1.0,1.0,700.0,0,0,1,1,12,0
318403,Calgary,Alberta,1515 12th Street SW,51.038842,-114.092201,apartment,1864.0,1.0,1.0,530.0,0,0,1,1,12,0
393080,Calgary,Alberta,609 8th Street SW,51.047691,-114.081481,apartment,3098.0,2.0,2.0,1312.0,0,0,1,1,12,0
361795,Calgary,Alberta,620 10 Avenue SW,51.044004,-114.075438,apartment,2743.0,2.0,2.0,910.0,0,0,1,1,12,0
544278,Calgary,Alberta,3360 16 St SW,51.0241493,-114.0996191,apartment,2414.0,2.0,2.0,790.0,0,0,1,1,12,0
433243,Calgary,Alberta,510 12 Avenue Southwest,51.041837187973,-114.07202629444,apartment,3000.0,1.0,1.5,796.0,0,0,1,1,12,0
476038,Calgary,Alberta,1229 Macleod Trail SE,51.0405707,-114.0586474,apartment,2571.0,2.0,2.0,938.0,0,0,1,1,12,61
343046,Calgary,Alberta,111 25th Ave SW,51.029764,-114.065254,apartment,2373.0,1.0,1.0,754.0,0,0,1,1,12,33
442585,Calgary,Alberta,226 Mahogany Gardens SE,50.8961637,-113.9356499,apartment,3861.0,2.0,2.0,1103.0,0,0,1,1,12,0
354686,Calgary,Alberta,401 Grier Avenue NE,51.098375,-114.0585376,townhouse,2430.0,3.0,1.0,1023.0,0,0,1,1,12,0
402020,Calgary,Alberta,939 Bracewood Drive SW,50.952983,-114.1147808,townhouse,1945.0,2.0,1.0,978.0,0,0,1,1,12,0
554661,Calgary,Alberta,"20, 40, 60, 80, 100 Skyview Ranch Landing NE",51.1577136,-113.9591257,apartment,2015.0,2.0,2.0,958.0,0,0,1,1,12,0
354690,Calgary,Alberta,550 Rundlehorn Circle N,51.072554586934,-113.98068964443,townhouse,2225.0,3.0,1.0,989.0,0,0,1,1,12,0
563712,Calgary,Alberta,815 50 Ave SW,51.0085151,-114.0825692,apartment,1980.0,1.0,1.5,786.0,0,0,0,0,12,0
510047,Calgary,Alberta,9700 Bonaventure Drive SE,50.9668952,-114.0671346,apartment,1770.0,2.0,1.0,890.0,0,0,1,1,12,0
393082,Calgary,Alberta,650 Meredith Road NE,51.0521742,-114.0489798,apartment,1815.0,1.0,1.0,558.0,0,0,1,1,12,0
481050,Calgary,Alberta,2120 Southland Dr SW,50.962467,-114.1097039,apartment,1900.0,1.0,1.0,616.0,0,0,1,1,12,0
468619,Calgary,Alberta,2107 34 Ave SW,51.0229848,-114.1098195,apartment,2012.0,1.0,1.0,536.0,0,0,1,1,12,0
481052,Calgary,Alberta,1825 Woodview Dr SW,50.9407587,-114.1038826,apartment,1750.0,1.0,1.0,635.0,0,0,1,1,12,0
545068,Calgary,Alberta,400 Nolan Hill Rise NW,51.1690415,-114.1562386,apartment,2070.0,2.0,2.0,890.0,0,0,1,1,12,0
463162,Calgary,Alberta,1608 22 Ave SW,51.0344626,-114.0974892,apartment,1925.0,2.0,1.0,785.0,0,0,1,1,12,0
549183,Calgary,Alberta,700 67th Avenue SW,50.9937375,-114.0769891,apartment,1900.0,1.0,1.0,740.0,0,0,1,1,12,0
428303,Calgary,Alberta,1121 6 St SW,51.0418433,-114.0768948,apartment,1650.0,0.0,1.0,700.0,0,0,1,1,12,0
462353,Calgary,Alberta,"510, 520, 530, 540 57 Ave SW",51.0026511,-114.074333,apartment,1775.0,1.0,1.0,615.0,0,0,1,1,12,0
549184,Calgary,Alberta,2105 90th Ave SW,50.9718234,-114.1088108,apartment,2005.0,1.0,1.0,785.0,0,0,1,1,12,0
546421,Calgary,Alberta,9600 Southland Circle SW,50.9675887,-114.0739897,apartment,1910.0,1.0,1.0,752.0,0,0,0,0,12,0
432141,Calgary,Alberta,8948 Elbow Drive,50.9720354,-114.0825932,apartment,2058.0,1.0,1.0,678.0,0,0,1,1,12,0
