rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,furnishing,smoking,cats,dogs,location_freq,price_sq_ft,availability_days
518134,Calgary,Alberta,4135 University Ave NW,51.0775801,-114.1475871,12,apartment,1999.0,1.0,1.0,535.0,False,False,True,True,3731.0,3.74,61
537535,Calgary,Alberta,4501 37th Street NW,51.091526,-114.141185,12,apartment,1680.0,1.0,1.0,640.0,False,False,True,True,3731.0,2.62,30
558711,Calgary,Alberta,264 19 Avenue NE,51.0699208,-114.0563773,12,apartment,1899.0,1.0,1.0,495.0,False,False,True,True,3731.0,3.84,14
486616,Calgary,Alberta,1870 45 Street NW,51.071068016946,-114.15904224603,12,apartment,2075.0,2.0,1.0,750.0,False,False,True,True,3731.0,2.77,61
351340,Calgary,Alberta,605 13 Ave SW,51.0408325,-114.0752992,12,apartment,1719.0,1.0,1.0,484.0,False,False,True,True,3731.0,3.55,30
510226,Calgary,Alberta,320 25 Ave SW,51.030971106775,-114.07101125938,12,apartment,1850.0,1.0,1.0,534.0,False,False,True,True,3731.0,3.46,30
508375,Calgary,Alberta,815 14 Avenue SW,51.0398048,-114.0802735,12,apartment,2199.0,2.0,1.5,988.0,False,False,True,True,3731.0,2.23,30
477778,Calgary,Alberta,1017 11 Ave SW,51.0420009,-114.0875656,12,apartment,2280.0,2.0,1.0,1113.0,False,False,True,True,3731.0,2.05,30
561036,Calgary,Alberta,600 1 Street NE,51.057714,-114.059894,12,apartment,1715.0,1.0,1.0,658.0,False,False,True,True,3731.0,2.61,30
522085,Calgary,Alberta,42 Cranbrook Gardens SE,50.861303505754,-113.97713988046,12,apartment,2200.0,2.0,2.0,934.0,False,False,False,False,3731.0,2.36,30
568027,Calgary,Alberta,8231 19 Avenue SW,51.037121268379,-114.20740035597,12,apartment,1925.0,1.0,1.0,620.0,False,False,True,True,3731.0,3.1,61
528641,Calgary,Alberta,5055 Northland Drive,51.098244613831,-114.14225476776,12,apartment,1925.0,1.0,1.0,676.0,False,False,True,True,3731.0,2.85,92
357394,Calgary,Alberta,1213 13 Ave SW,51.0409725,-114.0899727,3,apartment,900.0,2.0,1.0,850.0,True,False,False,False,3731.0,1.06,0
568084,Calgary,Alberta,149 Haskayne Drive Northwest,51.1092946,-114.2723534,12,basement,1575.0,2.0,1.0,910.0,False,False,True,True,3731.0,1.73,0
571628,Calgary,Alberta,5003 Brisebois Drive Northwest,51.097037,-114.1263274,12,house,2950.0,4.0,2.0,882.0,False,False,False,False,3731.0,3.34,0
571322,Calgary,Alberta,681 Savanna Boulevard Northeast,51.1347216,-113.9496947,12,apartment,1995.0,2.0,2.0,903.0,False,False,True,True,3731.0,2.21,0
571976,Calgary,Alberta,303 13 Avenue Southwest,51.040326,-114.0687792,12,apartment,3700.0,2.0,2.0,1870.0,False,False,False,False,3731.0,1.98,0
569119,Calgary,Alberta,Livingston,51.187979,-114.0774392,12,basement,1500.0,2.0,1.0,882.0,False,False,False,False,3731.0,1.7,0
570770,Calgary,Alberta,303 60 24 Ave Sw,51.0322249,-114.0617923,12,apartment,2850.0,2.0,2.0,1298.0,False,False,False,False,3731.0,2.2,0
